id,symbol,ask,bid,flags,last,time,time_msc,volume,volume_real,timestamp
231,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 19:12:00
232,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 19:13:00
233,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 19:14:00
234,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 19:15:00
235,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 19:16:00
236,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 19:17:00
237,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 19:18:00
238,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 19:19:00
239,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 19:20:00
240,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 19:21:00
241,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 19:22:00
242,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 19:23:00
243,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 19:24:00
244,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 19:25:00
